state,beds,beds_covid,beds_noncrit,admitted_pui,admitted_covid,admitted_total,discharged_pui,discharged_covid,discharged_total,hosp_covid,hosp_pui,hosp_noncovid,Cluster
1,2755,255,2677,6,14,20,2,13,15,61,4,2027,1
2,2939,332,2781,2,16,18,1,12,13,50,3,1884,1
4,1542,124,1467,1,7,8,1,19,20,42,3,869,1
10,3841,786,3688,9,18,27,9,24,33,70,32,2611,2
13,3873,260,3775,7,25,32,4,23,27,108,12,968,1
14,609,83,585,7,10,17,3,4,7,19,8,292,1
0,4175,541,4063,22,46,68,18,24,42,184,21,3102,2
2,2939,332,2781,5,9,14,2,11,13,48,6,1872,1
3,1315,262,1233,5,6,11,1,13,14,44,5,995,1
10,3841,786,3688,12,9,21,7,21,28,60,30,2514,2
13,3873,260,3775,5,21,26,5,21,26,101,4,1928,1
14,609,83,585,6,7,13,4,7,11,15,8,299,1
0,4175,541,4063,14,46,60,16,37,53,186,20,3225,2
1,2755,255,2677,2,11,13,1,12,13,46,3,2115,1
2,2939,332,2781,3,16,19,3,18,21,46,6,2020,1
10,3841,786,3688,12,10,22,11,13,24,58,29,2447,2
13,3873,260,3775,13,15,28,4,8,12,100,10,1976,1
1,2755,255,2677,7,22,29,2,13,15,55,8,2131,1
2,2939,332,2781,3,18,21,3,21,24,42,6,2109,1
10,3841,786,3688,11,11,22,7,10,17,58,35,2439,2
13,3873,260,3775,11,19,30,9,15,24,98,9,929,1
14,609,83,585,4,9,13,3,4,7,22,5,291,1
2,2939,332,2781,2,11,13,5,4,9,51,3,2100,1
3,1315,262,1233,2,7,9,1,11,12,32,3,1042,1
10,3841,786,3688,6,11,17,13,5,18,64,31,2511,2
13,3873,260,3775,8,16,24,8,13,21,94,6,2008,1
14,609,83,585,7,6,13,5,7,12,18,7,318,1
0,4175,541,4063,14,35,49,6,44,50,158,23,2677,2
1,2755,255,2677,11,16,27,8,19,27,43,6,2235,1
3,1315,262,1233,4,15,19,3,6,9,40,4,1039,1
10,3841,786,3688,16,16,32,9,14,23,68,40,2524,2
13,3873,260,3775,12,24,36,6,20,26,97,11,2074,1
14,609,83,585,6,6,12,7,7,14,15,5,327,1
1,2755,255,2677,9,22,31,6,10,16,27,6,1300,1
2,2939,332,2781,2,22,24,1,18,19,54,4,2050,1
3,1315,262,1233,2,11,13,2,9,11,42,4,1061,1
10,3841,786,3688,17,15,32,19,15,34,72,35,2553,2
13,3873,260,3775,9,14,23,10,24,34,53,9,2041,1
1,2755,255,2677,6,22,28,6,10,16,55,5,2031,1
2,2939,332,2781,3,19,22,2,19,21,54,5,1953,1
10,3841,786,3688,16,19,35,10,18,28,73,36,2539,2
13,3873,260,3775,8,14,22,5,10,15,82,10,2050,1
0,4175,541,4063,16,30,46,13,19,32,159,17,3109,2
1,2755,255,2677,7,18,25,6,9,15,58,6,2067,1
2,2939,332,2781,3,13,16,3,10,13,58,5,1886,1
10,3841,786,3688,10,7,17,5,19,24,58,40,2493,2
13,3873,260,3775,8,14,22,10,18,28,78,9,1893,1
14,609,83,585,11,7,18,7,4,11,12,3,319,1
0,4175,541,4063,26,35,61,15,27,42,155,19,3194,2
1,2755,255,2677,6,22,28,7,10,17,64,4,2114,1
2,2939,332,2781,3,17,20,3,17,20,57,5,1952,1
6,5184,462,5091,1,24,25,1,23,24,129,8,3165,2
10,3841,786,3688,14,27,41,14,14,28,64,41,2406,2
13,3873,260,3775,7,11,18,3,8,11,81,8,1851,1
0,4175,541,4063,27,32,59,18,38,56,143,27,3224,2
1,2755,255,2677,7,18,25,4,15,19,61,5,2194,1
2,2939,332,2781,6,21,27,2,17,19,55,9,2070,1
6,5184,462,5091,1,23,24,1,28,29,118,8,3222,2
10,3841,786,3688,8,10,18,12,11,23,66,37,2422,2
13,3873,260,3775,11,17,28,8,13,21,84,6,1978,1
1,2755,255,2677,10,18,28,5,10,15,56,7,2195,1
2,2939,332,2781,1,22,23,4,27,31,50,6,2125,1
3,1310,262,1228,2,10,12,3,16,19,33,3,1051,1
10,3841,786,3688,10,14,24,5,5,10,70,39,2512,2
13,3873,260,3775,13,19,32,14,13,27,82,3,2025,1
0,4175,541,4063,17,22,39,17,24,41,130,17,3115,2
1,2755,255,2677,10,14,24,5,19,24,51,11,1781,1
2,2939,332,2781,1,15,16,3,14,17,52,4,1968,1
10,3841,786,3688,8,15,23,6,13,19,69,33,2466,2
13,3873,260,3775,13,15,28,8,21,29,70,8,1933,1
0,4175,541,4063,10,32,42,11,12,23,129,7,2527,2
1,2755,255,2677,8,11,19,7,11,18,53,6,2096,1
3,1310,262,1228,1,15,16,2,5,7,44,5,1083,1
6,5184,462,5091,2,24,26,1,13,14,133,5,2950,2
10,3841,786,3688,11,8,19,7,16,23,62,43,2432,2
1,2755,255,2677,5,21,26,8,9,17,57,3,1996,1
2,2939,332,2781,1,17,18,1,20,21,43,3,1893,1
3,1310,262,1228,2,10,12,3,13,16,41,4,1079,1
10,3841,786,3688,7,14,21,8,9,17,62,48,2539,2
13,3873,260,3775,9,12,21,6,10,16,68,5,2023,1
0,4175,541,4063,24,29,53,13,13,26,90,17,1977,2
1,2755,255,2677,3,14,17,2,10,12,49,3,2014,1
6,5184,462,5091,4,26,30,1,20,21,106,5,3211,2
10,3841,786,3688,13,17,30,14,10,24,69,47,2488,2
13,3873,260,3775,11,27,38,3,11,14,82,9,1834,1
14,609,83,585,5,8,13,5,3,8,16,3,343,1
0,4175,541,4063,16,29,45,15,19,34,135,23,3204,2
10,3841,786,3688,10,12,22,12,4,16,76,45,2353,2
13,3873,260,3775,14,16,30,7,13,20,81,12,1838,1
14,609,83,585,8,6,14,5,6,11,12,4,312,1
0,4175,541,4063,23,25,48,9,29,38,127,26,3204,2
1,2755,255,2677,6,11,17,5,10,15,47,3,2082,1
6,5184,462,5091,3,26,29,1,18,19,100,6,3199,2
10,3841,786,3688,8,16,24,10,16,26,78,46,2428,2
13,3873,260,3775,6,17,23,3,9,12,84,9,1974,1
3,1310,262,1228,5,9,14,2,20,22,31,5,1052,1
10,3841,786,3688,10,16,26,7,20,27,77,52,2534,2
13,3873,260,3775,2,16,18,2,22,24,80,8,2053,1
14,609,83,585,8,8,16,7,4,11,13,4,294,1
10,3841,786,3688,11,17,28,6,17,23,79,57,2516,2
13,3873,260,3775,1,21,22,6,12,18,86,3,2120,1
0,4175,541,4063,16,32,48,21,27,48,117,20,3114,2
1,2755,255,2677,11,28,39,5,14,19,65,8,2186,1
10,3841,786,3688,4,13,17,14,11,25,75,46,2530,2
13,3873,260,3775,6,15,21,3,18,21,81,7,2132,1
14,609,83,585,7,11,18,4,8,12,18,6,303,1
0,4175,541,4063,16,36,52,13,25,38,121,26,3038,2
1,2755,255,2677,6,19,25,10,21,31,56,3,2020,1
10,3841,786,3688,14,9,23,8,16,24,94,52,2448,2
13,3873,260,3775,7,13,20,3,12,15,76,10,2124,1
14,609,83,585,1,9,10,2,8,10,14,3,319,1
0,4175,541,4063,18,33,51,17,19,36,130,27,3069,2
1,2755,255,2677,4,23,27,4,13,17,56,4,2057,1
10,3841,786,3688,12,19,31,14,15,29,79,52,2388,2
0,4175,541,4063,17,37,54,17,17,34,147,15,3104,2
1,2755,255,2677,9,13,22,7,9,16,49,5,2118,1
3,1310,262,1232,6,5,11,2,10,12,31,4,1010,1
10,3841,786,3688,10,12,22,7,13,20,75,55,2368,2
13,3873,260,3775,10,10,20,4,7,11,68,9,1872,1
14,609,83,585,9,4,13,5,9,14,15,8,289,1
0,4175,541,4063,11,27,38,16,40,56,123,12,3199,2
1,2755,255,2677,9,26,35,3,9,12,57,4,2133,1
10,3841,786,3688,8,21,29,9,15,24,80,52,2414,2
13,3873,260,3775,6,11,17,2,7,9,69,4,2016,1
1,2755,255,2677,8,17,25,4,12,16,55,7,2196,1
10,3841,786,3688,13,17,30,7,15,22,84,60,2497,2
13,3849,212,3751,2,10,12,5,22,27,54,3,2065,1
14,609,83,585,6,12,18,5,3,8,14,5,321,1
10,3841,786,3688,6,10,16,8,19,27,73,53,2537,2
13,3849,212,3751,12,13,25,5,12,17,59,11,2118,1
10,3841,786,3688,3,12,15,2,23,25,63,52,2515,2
13,3849,212,3751,4,15,19,7,11,18,61,6,2090,1
